node_id,r_m,z_m,T_K
745,0.1,0.145,300.0035398
746,0.105,0.145,300.0030094
747,0.11,0.145,300.0019042
748,0.115,0.145,300.0009536
749,0.12,0.145,300
750,0,0.15,564.6618338
751,0.005,0.15,564.683309
752,0.01,0.15,564.6780289
753,0.015,0.15,564.6840132
754,0.02,0.15,564.6764976
755,0.025,0.15,564.6810427
756,0.03,0.15,564.6725165
757,0.035,0.15,564.6761917
758,0.04,0.15,564.666439
759,0.045,0.15,564.6698276
760,0.05,0.15,564.6555348
761,0.055,0.15,489.1408158
762,0.06,0.15,449.8005679
763,0.065,0.15,418.2850241
764,0.07,0.15,393.6305205
765,0.075,0.15,372.827472
766,0.08,0.15,354.9506942
767,0.085,0.15,339.1967565
768,0.09,0.15,325.0465252
769,0.095,0.15,312.0917422
770,0.1,0.15,300.0047905
771,0.105,0.15,300.0027422
772,0.11,0.15,300.0018915
773,0.115,0.15,300.000883
774,0.12,0.15,300
775,0,0.155,520.0425055
776,0.005,0.155,520.008184
777,0.01,0.155,519.8883048
778,0.015,0.155,519.6610628
779,0.02,0.155,519.2646362
780,0.025,0.155,518.6128352
781,0.03,0.155,517.4869602
782,0.035,0.155,515.5904433
783,0.04,0.155,511.8572988
784,0.045,0.155,505.0669939
785,0.05,0.155,486.497171
786,0.055,0.155,456.6672493
787,0.06,0.155,425.8398879
788,0.065,0.155,401.2996261
789,0.07,0.155,380.4145391
790,0.075,0.155,362.7005288
791,0.08,0.155,347.3221776
792,0.085,0.155,333.75749
793,0.09,0.155,321.5663832
794,0.095,0.155,310.4104218
795,0.1,0.155,300.003047
796,0.105,0.155,300.00259
797,0.11,0.155,300.0016379
798,0.115,0.155,300.00082
799,0.12,0.155,300
800,0,0.16,475.5451175
801,0.005,0.16,475.4878146
802,0.01,0.16,475.2806027
803,0.015,0.16,474.8932257
804,0.02,0.16,474.2238075
805,0.025,0.16,473.131493
806,0.03,0.16,471.3303027
807,0.035,0.16,468.3246582
808,0.04,0.16,463.3973544
809,0.045,0.16,454.2195407
810,0.05,0.16,441.2826528
811,0.055,0.16,420.5517625
